start,end,dist
0,1,4.850380989915877
0,2,6.667614018211517
0,3,7.934842369467526
0,4,6.127918553951432
0,5,3.8644706872582177
0,6,12.839809709808547
0,7,19.48068405120977
0,8,14.988843571828252
0,9,25.949679228348447
0,10,20.6706661716435
0,11,18.03832568043113
0,12,35.5851131277802
0,13,34.11369153212189
0,14,43.66560528668861
0,17,47.81482301991821
0,18,45.33018117723561
0,19,60.40034705561498
0,21,64.37520325771905
0,22,62.25275951219258
0,23,29.93416077551626
0,24,34.45398608605207
0,25,22.06411242967161
0,26,24.224478971109832
0,27,23.454014230510165
0,28,16.959448165540426
0,29,16.71396280667992
0,30,45.257847803358906
0,31,26.598250079229807
0,32,28.19682641066994
0,33,31.774984051144536
0,34,42.47240199121447
1,2,7.523609483354727
1,3,4.787854311155222
1,4,10.693419607820763
1,5,7.306477708295068
1,6,15.197466534694046
1,7,21.978079530484163
1,8,13.017255328468826
1,9,23.371668748948196
1,10,19.997857553164664
1,11,17.237458841995004
1,12,39.6066069816235
1,13,38.36229506485673
1,14,47.818475889561114
1,17,52.57097591131669
1,18,50.112361809411134
1,23,34.124343479064564
1,24,38.67652885952369
1,25,23.538435704473653
1,26,25.203070015413882
1,27,18.654948726103402
1,28,12.831159897553851
1,29,13.186757533555905
1,30,42.61212421537513
1,31,26.352287473944482
1,32,28.53321543072301
1,33,28.17932295294494
1,34,39.8493254547425
2,3,5.770761292155789
2,4,7.693715179383026
2,5,10.465987176753227
2,6,7.824009757619588
2,7,14.54744710331441
2,8,9.20151837734721
2,9,20.211872279915763
2,10,14.034297930276795
2,11,11.451059923835242
2,12,33.20904105978141
2,13,32.37272113196207
2,14,41.56357482762288
2,17,50.69101539500793
2,18,48.04701324002255
2,19,64.51662193230797
2,23,34.79801355086562
2,24,39.19428096011101
2,25,28.729601808437152
2,26,30.878945885775675
2,27,24.079445465550954
2,28,19.94812961497794
2,29,20.628890841027424
2,30,50.13454869426908
2,31,19.935994075256897
2,32,21.641289851690047
2,33,27.07468299517289
2,34,36.56149979828932
3,4,12.171299774735848
3,5,11.392368710089292
3,6,13.317039349210773
3,7,19.813990577790634
3,8,8.274874063379842
3,9,18.620981338968928
3,10,15.573787766982797
3,11,12.813241058045072
3,12,38.96462932608171
3,13,38.1416198195258
3,14,47.32748812003181
3,17,55.23091015910355
3,18,52.667636052065816
3,23,37.865820917907286
3,24,42.38041062210508
3,25,28.32220825071941
3,26,29.98243063588449
3,27,18.31464868319665
3,28,14.889961865459862
3,29,16.083892580911748
3,30,45.76527598638457
3,31,22.03166603524419
3,32,24.488531402562025
3,33,23.877212322626594
3,34,35.12878567051799
4,5,7.407362126638722
4,6,9.411835281977742
4,7,15.181404471513696
4,8,16.81772379616308
4,9,27.721324717336962
4,10,20.339634518446527
4,11,18.106389210196895
4,12,29.564437105754244
4,13,28.007858328039248
4,14,37.58167775935089
4,15,63.59216246168502
4,16,63.16396217991893
4,17,43.16677651025343
4,18,40.565684225002414
4,19,56.82310029451791
4,20,61.18636971330629
4,21,64.0575920922913
4,22,61.73801765120314
4,23,27.27333110031192
4,24,31.61157678752855
4,25,24.338538770297248
4,26,26.967785600285406
4,27,29.31850337518505
4,28,23.087016141886956
4,29,22.760148588691493
4,30,50.75070656534663
4,31,25.361336069423864
4,32,26.15927572423731
4,33,34.768390152094405
4,34,43.870194877573425
5,6,15.869526864826152
5,7,22.230174258571527
5,8,18.812632821239603
5,9,29.723700576251026
5,10,24.49714166881903
5,11,21.883880399876883
5,12,36.626539017874656
5,13,34.81588627729086
5,14,44.451074244947094
5,17,45.68905314253432
5,18,43.31263964260353
5,19,57.539522148799875
5,20,62.05584184469376
5,21,60.55676101865905
5,22,58.4575040120983
5,23,26.819011370386185
5,24,31.37261794607102
5,25,18.29634709186612
5,26,20.56912596566003
5,27,24.800648068145197
5,28,17.155966265032873
5,29,16.229860646255723
5,30,43.4019109280548
5,31,30.34264023851645
5,32,31.80086888170959
5,33,35.25057730275555
5,34,46.25843308685682
6,7,6.786148006346173
6,8,12.517507032724142
6,9,21.746814468727067
6,10,12.476948340248802
6,11,11.012329707255097
6,12,25.935172970018645
6,13,25.501167995655287
6,14,34.34432307120458
6,15,58.27823024753956
6,16,58.204238712155416
6,17,47.7252285125242
6,18,44.94625707518229
6,19,62.954081064135266
6,23,35.036102075556414
6,24,39.07756787748574
6,25,33.66579541731846
6,26,36.20130279428809
6,27,31.50113119496384
6,28,27.77125858984065
6,29,28.378075984782246
6,30,57.724164705178744
6,31,16.43115485304541
